Sample_ID;Tissue;Invsimpson
1;Cementum;1.063
2;Cementum;1.138
3;Dentin;1.134
4;Dentin;1.251
5;Cementum;1.016
6;Cementum;1.016
7;Cementum;1.016
8;Dentin;1.047
9;Dentin;1.049
10;Dentin;1.050
11;Cementum;1.073
12;Cementum;1.001
13;Cementum;1.001
14;Cementum;1.001
15;Dentin;1.021
16;Dentin;1.024
17;Dentin;1.022
18;Cementum;1.000
19;Cementum;1.001
20;Cementum;1.001
21;Cementum;1.001
22;Dentin;1.010
23;Dentin;1.015
24;Dentin;1.016
25;Cementum;1.010
26;Cementum;1.012
27;Skull;1.038
28;Cementum;1.091
29;Cementum;1.002
30;Cementum;1.264
31;Cementum;1.023
32;Skull;1.079
33;Long bone;1.811
