Sample_ID;Tissue;Simpson
1;Cementum;0.059
2;Cementum;0.121
3;Dentin;0.118
4;Dentin;0.200
5;Cementum;0.016
6;Cementum;0.016
7;Cementum;0.016
8;Dentin;0.045
9;Dentin;0.047
10;Dentin;0.048
11;Cementum;0.068
12;Cementum;0.001
13;Cementum;0.001
14;Cementum;0.001
15;Dentin;0.020
16;Dentin;0.023
17;Dentin;0.022
18;Cementum;0.000
19;Cementum;0.001
20;Cementum;0.001
21;Cementum;0.001
22;Dentin;0.010
23;Dentin;0.015
24;Dentin;0.015
25;Cementum;0.010
26;Cementum;0.012
27;Skull;0.036
28;Cementum;0.083
29;Cementum;0.002
30;Cementum;0.209
31;Cementum;0.023
32;Skull;0.073
33;Long bone;0.447
